Date,Total.Bicycle.Count,Conditions
1/1/2014,914,Fog-Rain
1/2/2014,1865,Rain
1/3/2014,2027,Rain
1/4/2014,1172,Fog
1/5/2014,1151,Fog
1/6/2014,2304,Rain
1/7/2014,2082,Fog-Rain
1/8/2014,1948,Rain
1/9/2014,2120,Rain
1/10/2014,1780,Rain
1/11/2014,423,Rain
1/12/2014,655,Rain
1/13/2014,2530,
1/14/2014,2808,Fog-Rain
1/15/2014,2772,Fog
1/16/2014,2641,Fog
1/17/2014,2310,Fog
1/18/2014,1135,Fog
1/19/2014,822,Fog
1/20/2014,1874,
1/21/2014,2680,Fog
1/22/2014,2692,Rain
1/23/2014,2649,
1/24/2014,2521,Fog
1/25/2014,1441,Fog
1/26/2014,1429,Fog
1/27/2014,2499,Fog
1/28/2014,2466,Rain
1/29/2014,1899,Rain
1/30/2014,2229,
1/31/2014,2035,Rain
2/1/2014,1134,Fog-Rain
2/2/2014,1095,Fog
2/3/2014,2290,
2/4/2014,2091,
2/5/2014,2588,
2/6/2014,1562,Snow
2/7/2014,1572,
2/8/2014,795,Fog-Snow
2/9/2014,221,Snow
2/10/2014,1428,Rain
2/11/2014,2024,Rain
2/12/2014,2139,Rain
2/13/2014,2389,Rain
2/14/2014,1786,Rain
2/15/2014,658,Rain
2/16/2014,485,Rain
2/17/2014,1028,Rain
2/18/2014,1525,Rain
2/19/2014,2167,Rain
2/20/2014,2214,Rain
2/21/2014,1889,Rain
2/22/2014,624,Rain-Snow
2/23/2014,691,Rain
2/24/2014,1557,Rain
2/25/2014,2563,
2/26/2014,2960,
2/27/2014,2721,
2/28/2014,2829,
3/1/2014,989,Rain-Snow
3/2/2014,431,Rain
3/3/2014,1720,Rain
3/4/2014,2053,Rain
3/5/2014,1874,Rain
3/6/2014,1801,Rain
3/7/2014,2560,
3/8/2014,726,Rain
3/9/2014,1142,Rain
3/10/2014,2145,Rain
3/11/2014,3416,Fog
3/12/2014,3665,Fog
3/13/2014,3313,Rain
3/14/2014,2216,Rain
3/15/2014,1177,Rain
3/16/2014,375,Rain
3/17/2014,2809,Rain
3/18/2014,2802,Rain
3/19/2014,2192,Rain
3/20/2014,2691,
3/21/2014,2652,
3/22/2014,1504,
3/23/2014,1963,
3/24/2014,3636,
3/25/2014,2087,Rain
3/26/2014,2346,Rain
3/27/2014,2357,
3/28/2014,1525,Rain
3/29/2014,571,Rain
3/30/2014,1320,
3/31/2014,3436,
4/1/2014,3791,
4/2/2014,3672,
4/3/2014,2623,Rain
4/4/2014,2817,Rain
4/5/2014,1044,Rain
4/6/2014,1543,
4/7/2014,4319,
4/8/2014,2806,Rain
4/9/2014,3828,Rain
4/10/2014,3940,
4/11/2014,3435,
4/12/2014,2185,
4/13/2014,2647,
4/14/2014,4006,
4/15/2014,3206,Rain
4/16/2014,2133,Rain
4/17/2014,1750,Rain
4/18/2014,2930,
4/19/2014,906,Rain
4/20/2014,1734,
4/21/2014,3401,Rain
4/22/2014,2635,Rain
4/23/2014,4068,Rain
4/24/2014,2511,Rain
4/25/2014,4394,
4/26/2014,2167,Rain
4/27/2014,1402,Rain
4/28/2014,6623,
4/29/2014,6894,
4/30/2014,5167,
5/1/2014,5937,
5/2/2014,4608,Rain
5/3/2014,1157,Rain
5/4/2014,620,Rain
5/5/2014,3301,Rain
5/6/2014,4636,
5/7/2014,5455,
5/8/2014,3230,Rain
5/9/2014,3036,Rain
5/10/2014,1725,
5/11/2014,2376,
5/12/2014,5432,
5/13/2014,6088,
5/14/2014,5887,
5/15/2014,5300,
5/16/2014,5742,
5/17/2014,2041,
5/18/2014,1937,
5/19/2014,4702,
5/20/2014,5678,
5/21/2014,5229,
5/22/2014,4910,
5/23/2014,2556,Rain
5/24/2014,2155,
5/25/2014,1234,Rain
5/26/2014,2289,
5/27/2014,5032,
5/28/2014,4008,Rain
5/29/2014,4587,
5/30/2014,4869,
5/31/2014,2887,
6/1/2014,2601,
6/2/2014,4914,Fog
6/3/2014,4670,
6/4/2014,4863,
6/5/2014,4675,
6/6/2014,4382,
6/7/2014,2807,
6/8/2014,3547,
6/9/2014,4128,
6/10/2014,4530,
6/11/2014,5196,
6/12/2014,4077,Rain
6/13/2014,2266,Rain
6/14/2014,1773,
6/15/2014,1267,
6/16/2014,3361,Rain
6/17/2014,4107,Rain
6/18/2014,4650,
6/19/2014,4412,Rain
6/20/2014,3790,Rain
6/21/2014,3204,
6/22/2014,2714,
6/23/2014,4477,Rain
6/24/2014,4342,
6/25/2014,4532,
6/26/2014,3857,
6/27/2014,2871,Rain
6/28/2014,1780,Rain
6/29/2014,2312,
6/30/2014,4802,
7/1/2014,5147,
7/2/2014,4742,
7/3/2014,3759,
7/4/2014,3284,
7/5/2014,1976,
7/6/2014,2882,
7/7/2014,4456,
7/8/2014,5215,
7/9/2014,5135,
7/10/2014,4800,
7/11/2014,4168,
7/12/2014,2480,
7/13/2014,2298,Thunderstorm
7/14/2014,4411,
7/15/2014,4941,Fog
7/16/2014,5009,
7/17/2014,4535,
7/18/2014,4135,
7/19/2014,2120,
